Gene,Half_Life
YEL023C,108.14132914904354
YJL022W,107.70593517343549
YOR161C,107.57125629666473
YHR053C,107.34637787645333
YDR274C,106.64361970162902
YCL074W,106.24710894521495
YKL133C,106.19013112114216
YKR009C,105.64497283693167
YIR037W,105.62635561869094
YNL281W,105.6195630927279
YOL087C,105.39620414792158
YER096W,105.16518124486784
YLR347C,105.14661228789045
YJR119C,105.0983720039792
YLR255C,104.95648537362932
YCL026C-A,104.80977797015835
YFL052W,104.77907970549069
YOR385W,104.32724916793985
YIL032C,103.97771379550244
YER179W,103.96326957819817
YLR308W,103.92312551200045
YBR050C,103.91059068175458
YHR055C,103.87666400463497
YHL030W,103.65907892707558
YIL160C,103.40249904178502
YPL154C,103.26187222446282
YDR263C,103.09141588578542
YGR218W,103.04867004298747
YER160C,102.83594099888028
YNL129W,102.54589034396697
YJR061W,102.4093898108847
YCL018W,101.50232587889347
YLR352W,101.3918828539413
YKL037W,101.33701292159826
YLR082C,101.31465114347695
YDR412W,101.09502792877753
YJL066C,101.01707359836851
YHR047C,100.86046605217848
YPR061C,100.68988731773288
YDR043C,100.58292697402486
YPR042C,100.56892771642875
YMR027W,100.5233674710846
YLR252W,100.49730699434664
YER037W,100.44937034634245
YKL136W,100.3306423785624
YHL026C,100.27829376609779
YMR304W,100.21926092846674
YJR066W,100.15416902614324
YPL054W,100.1087089592376
YNR014W,100.04938192070954
YNR019W,99.80550767630594
YFL060C,99.80177266688074
YBR012C,99.72095688620985
YNL305C,99.69822479335848
YNL242W,99.32563090351009
YML078W,99.30197588129424
YAL061W,99.00649285370099
YBL101W-B,98.92461341366233
YBR182C,98.89036336728113
YBR053C,98.14610866165945
YAL058C-A,98.13026444159182
YBR139W,98.08922253952692
YIL132C,97.32769794759196
YNL338W,96.98234353578107
YPL005W,96.92797296478766
YBR196C,96.8368590773827
YOL101C,96.64172208026211
YOR183W,96.56431097133209
YPR006C,96.52093001225056
YDR383C,96.48192180507174
YEL006W,96.46938339960353
YHR180W,96.4052271247698
YOR273C,96.38096517382405
YDR445C,96.34985582475274
YFR012W,96.31902861020674
YBR152W,96.26956649173444
YNL159C,96.23060456983971
YNL014W,96.05334696143602
YKL097C,96.03028097602727
YOR220W,95.77973848553506
YKR039W,95.73870282783803
YMR262W,95.64322892239599
YDR129C,95.57772879766287
YDR019C,95.26025825926207
YKL120W,95.22690107257412
YKL104C,95.14289302361928
YBR025C,95.06433320654929
YOR152C,95.03683772835836
YOR140W,94.76479678455222
YER005W,94.61037691159896
YDR442W,94.55539336263485
YFL026W,94.54290458343314
YCL035C,94.42897736496599
YDR247W,94.2445009621535
YEL069C,94.04942664628913
YJR096W,93.97442095243944
YHR048W,93.91259035596225
YPL261C,93.82957263776947
YAL048C,93.72652503740035
YDL057W,93.55138946191062
YLR112W,93.27800310627308
YER175C,93.26554512326162
YOL164W,93.096090820318
YKL055C,92.96442178906882
YAL064W,92.74790490606385
YOR015W,92.72039947254457
YDR538W,92.71702246738239
YLR164W,92.65007815773923
YML049C,92.60383349946339
YAR020C,92.46499052565018
Q0115,92.43061795525436
YLR369W,92.31740443579741
YIL089W,92.31090496681331
YIL087C,92.29254873592106
YOR020C,92.29060268237261
YKL142W,92.28213634459608
YCL027W,92.20741482406392
YBR117C,92.10857178092972
YGL195W,92.07333616096234
YCL040W,92.06073431276486
YHR061C,92.0435602169448
YNL028W,91.92316154946418
YBR175W,91.89788962780668
YEL008W,91.76367615140197
YPR014C,91.76010848933541
YBR098W,91.73749847045126
YIR042C,91.71317039063496
YDR523C,91.43063470967573
YER138C,91.23987218634458
YOR391C,91.22744751506777
YOR012W,91.10466908793741
YKL042W,91.0748225903123
Q0010,90.74273485276431
YOL032W,90.73601444042633
YPL135W,90.49929046059619
YDR109C,90.47095814658833
YIR018W,90.36253246451541
YBR212W,90.24157195866677
YKL091C,90.05457008429893
YBR063C,90.00242964906074
YKL010C,89.95001217926033
YGL227W,89.82474845933875
YBR157C,89.53678626670371
YNL120C,89.4752145765531
YMR075C-A,89.40521161148068
YOR040W,89.28987440160533
YDR029W,89.2431943415802
YLR422W,89.0472753892273
YHR160C,89.0046621090717
YJL034W,88.88514440457858
YMR050C,88.85012328262944
YMR290W-A,88.78935397613981
YFL051C,88.78441013310172
YDL168W,88.65320178805108
YNL011C,88.64689932259995
YCR075C,88.60042561323384
YJL213W,88.4903771356778
YJL088W,88.4210590206811
YDR342C,88.21958909407687
YOR019W,88.17471262941467
YIR032C,88.12147155411155
YAL062W,87.96961055380409
YLR377C,87.92047952095587
YKL121W,87.89160249942431
Q0050,87.67856439829444
YHR176W,87.5902357379909
YCR020C-A,87.52285153657188
YHR137W,87.34350326713475
YBR011C,87.30840302889972
YBR228W,87.3083137873928
YAL063C,87.26712573731237
